Message,Label,Suspicion_Index
"Cash only, no phones during the deal.",Highly Suspicious,0.88
Wrap it properly this time.,Suspicious,0.6
Let’s catch up this weekend.,Safe,0.23
Don't forget the groceries.,Safe,0.01
I'll send the document tomorrow.,Safe,0.26
"Hey, how was your day?",Safe,0.03
Let's meet at 5 pm.,Safe,0.05
The weather is nice today.,Safe,0.17
I'll send the document tomorrow.,Safe,0.21
Let's meet at 5 pm.,Safe,0.27
Have you seen the new movie?,Safe,0.22
I'll call you in 10 minutes.,Safe,0.07
Don't forget the groceries.,Safe,0.11
"Don't get caught, it's all LSD in the packet.",Highly Suspicious,0.85
Bring the green stuff but don’t tell anyone.,Suspicious,0.57
Have you seen the new movie?,Safe,0.01
"You know the code, no talking on the phone.",Highly Suspicious,0.95
Don’t text me here about this again.,Suspicious,0.65
Thanks for your help!,Safe,0.18
He said the batch is pure and strong.,Suspicious,0.52
Let’s catch up this weekend.,Safe,0.22
Have you seen the new movie?,Safe,0.05
Have you seen the new movie?,Safe,0.04
Where is the meeting happening?,Safe,0.1
Let's meet at 5 pm.,Safe,0.3
Is the delivery still on for tonight?,Suspicious,0.49
"Hey, how was your day?",Safe,0.16
Let's meet at 5 pm.,Safe,0.18
Is the delivery still on for tonight?,Suspicious,0.42
I'll call you in 10 minutes.,Safe,0.16
Where is the meeting happening?,Safe,0.02
I'll send the document tomorrow.,Safe,0.14
Where is the meeting happening?,Safe,0.21
"Don't get caught, it's all LSD in the packet.",Highly Suspicious,0.96
I'll send the document tomorrow.,Safe,0.29
He mentioned some white powder in a bag.,Suspicious,0.57
Let's meet at 5 pm.,Safe,0.27
Can you get the stuff we talked about?,Suspicious,0.49
"Don't get caught, it's all LSD in the packet.",Highly Suspicious,0.88
Bring the green stuff but don’t tell anyone.,Suspicious,0.54
Let’s catch up this weekend.,Safe,0.06
The weather is nice today.,Safe,0.04
Let’s meet at the same alley tonight.,Suspicious,0.51
"Hey, how was your day?",Safe,0.19
Wrap it properly this time.,Suspicious,0.62
Thanks for your help!,Safe,0.28
The weather is nice today.,Safe,0.22
Don't forget the groceries.,Safe,0.15
Let’s catch up this weekend.,Safe,0.02
Wrap it properly this time.,Suspicious,0.55
Where is the meeting happening?,Safe,0.28
Can you get the stuff we talked about?,Suspicious,0.4
Where is the meeting happening?,Safe,0.19
You still got the pills from last time?,Suspicious,0.66
"Got 5 grams of coke ready, when can we meet?",Highly Suspicious,0.84
"Hey, how was your day?",Safe,0.24
Is the delivery still on for tonight?,Suspicious,0.5
The weather is nice today.,Safe,0.13
Have you seen the new movie?,Safe,0.11
"Hey, how was your day?",Safe,0.26
"Just cash, no transfers.",Suspicious,0.58
I'll call you in 10 minutes.,Safe,0.14
Drop the bag behind the dumpster.,Highly Suspicious,0.93
Where is the meeting happening?,Safe,0.02
Let's meet at 5 pm.,Safe,0.15
Let's meet at 5 pm.,Safe,0.06
"Got a new supplier for meth, very clean.",Highly Suspicious,0.82
Thanks for your help!,Safe,0.18
Bring the green stuff but don’t tell anyone.,Suspicious,0.43
Let's meet at 5 pm.,Safe,0.18
Have you seen the new movie?,Safe,0.05
Thanks for your help!,Safe,0.26
I'll send the document tomorrow.,Safe,0.18
Thanks for your help!,Safe,0.15
You still got the pills from last time?,Suspicious,0.68
Is the delivery still on for tonight?,Suspicious,0.65
I'll send the document tomorrow.,Safe,0.1
"Hey, how was your day?",Safe,0.2
"Hey, how was your day?",Safe,0.21
The weather is nice today.,Safe,0.06
Let’s meet at the same alley tonight.,Suspicious,0.42
Thanks for your help!,Safe,0.02
Where is the meeting happening?,Safe,0.18
The weather is nice today.,Safe,0.1
Let’s catch up this weekend.,Safe,0.14
